Address|ProjectDescription|PermitNumber
4933 CLARENDON STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a new 4 storey multiple dwelling building with 47 units over one level of underground parking with vehicular access from the rear lane.

This is a CP process, CP is Gordon Richards, Architect.
This permit has been reviewed under the 2014 Vancouver Building By-law (#10908).  Reviewed during the 2020 pandemic crisis.

STAGED CONSTRUCTION
Stage 1 - Full Structure - issued December 24, 2020
Stage 2 - Full Construction - issued November 18, 2021"|BP-2019-04799
2775 WARD STREET, Vancouver, BC V5R 4S7|"High Density Housing / Commercial - New Building - To construct a three-storey Multiple Dwelling, containing a total of three dwelling units, with two surface parking stalls at the rear, having access from the rear and flanking lane.

Building Review Branch Notes:
- Building Permit for DP-2020-00179 
- Part 4 & 5 of VBBL are applicable. Schedule A, B and D provided. 
- CRP is Govinder S Dhesi, P.Eng, 604-580-3275
- Entire building to be sprinklered to NFPA 13R standard.

* Reviewed as per VBBL 2019 and during 2020 Pandemic Crisis.

Revision #1 (Adessa.M, Dec 3rd, 2021)
- Change the applicant from Michael Lu (designer) to Jatinderpal Bains (Owner), Revised project value."|BP-2020-03992
4882 SLOCAN STREET, Vancouver, BC V5R 2A3|"Certified Professional Program - New Building - To construct a new  multi-family residential development consisting of:
-  4-storey multiple dwelling building (Building 1 consisting of 37 dwelling units and 9 lock-off units) located at front of the site; and 
-  4-storey townhouse building (Building 2 consisting of 16 townhome units with 8 lock-off units) located at rear of the site,

all over one level of underground parking.

The Building 1 and Building 2 were designed and constructed in accordance with the National Energy Code of Canada ( NECB 2011).

Note: All fees for the entire development on this site applied against this Permit. 

Note: As of July 11, 2018  Mr. Richard Lau, P. Eng., C.P.  will no longer be the Certified Professional on this project. 
As of July 12, 2018  Ms. Susana Chui , P. Eng., C.P , shall assume responsibility as the  Certified Professional for the above noted project.  A new CP-1 form and letters from the owner, outgoing C.P.  and incoming C.P., acknowledging transfer of CP responsibilities and the effective date of transfer on file.  

22-Aug-2017 - Stage 1 (Excavation and Shoring) issued. 
01-Dec-2017  - Stage 2 (Full Structural)  issued.
09- Aug-2018 - Stage 3 (Full Construction) issued."|BP-2017-01399
4858 SLOCAN STREET, Vancouver, BC V5R 2A3|"Certified Professional Program - New Building - To construct a new  4-storey townhouse Building 2 consisting of 16 townhome units with 8 lock-off units  at rear of the site all over one level of underground parking.

The Building 2 was designed and constructed in accordance with the National Energy Code of Canada ( NECB 2011).

Note: As of July 11, 2018  Mr. Richard Lau, P. Eng., C.P.  will no longer be the Certified Professional on this project. 
As of July 12, 2018  Ms. Susana Chui , P. Eng., C.P , shall assume responsibility as the  Certified Professional for the above noted project.  A new CP-1 form and letters from the owner, outgoing C.P.  and incoming C.P., acknowledging transfer of CP responsibilities and the effective date of transfer on file.  

Related to BP-2017-01399 ( Site Permit). 


22-Aug-2017 - Stage 1 (excavation and shoring) issued. 
01-Dec-2017 - Stage  2 (full structural) issued.
21-Aug-2018 - Stage 3 (full construction) issued."|BP-2017-04345
469 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J3|"Certified Professional Program - New Building - This permit has been issued for the site work and below grade facilities  for the proposed development:

To construct three residential buildings:
Building 1 - BP-2018-04621 - 7 storey residential building containing 51 market residential units 
Building 2 - BP-2018-04622 - 2 storey residential building containing 3 market town homes
Building 3 - BP-2018-04623 - 2 storey residential building containing 4 market town homes

all over 2 levels of underground parking.

NOTE: All fees for the entire development on this site applied against this permit.

The  Fire Safety Plan and graphic annunciator panel, at the building lobby, to illustrate all the applicable paths to the rear townhouse clusters and identify the locations of all applicable provisions for Firefighting. 

18-Dec-2018 -  Stage 1 (excavation and shoring) issued.
22-Mar-2019 - Stage 2 Stage 2 (foundations to Level 2, structural only) issued.
27-June--2019 - Stage 3 (full construction) issued.


08-Feb-2021 tn
As of Aug 06, 2019 Mr. Graeme Terris, P. Eng. is no longer the Registered Professional of Record for the Mechanical and Plumbing disciplines on this project.
As of Aug 06, 2019 Mr. Raymond Cho, P. Eng.  will be assuming responsibilities as the Registered Professional of Record for Mechanical and Plumbing disciplines. A new Schedule B -Mech/ Plumbing on file."|BP-2017-06081
483 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a new two storey residential building  (Building 3) consisting  of four townhomes located at the northwest corner of this site. 
Related to BP-2017-06081(Site Permit).

18-Dec-2018  - Stage 1(excavation and shoring) issued.
22-Mar-2019 - Stage 2 Stage 2 ( foundations to Level 2, structural only) issued.
27-June-2019 - Stage 3 (full construction)  issued."|BP-2018-04623
1709 E 18TH AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Spin off Permit for BP-2017-05913 
To construct  a 3-storey market Infill Two-Family Dwelling (Building 2) at the northwest side of this site. 

25-May-2018 - Stage 1 (excavation and shoring) - issued. 
18-July-2018  - Stage 2 (foundation to grade)     - issued.
04-Oct-2018   - Stage 3 ( full construction)         - issued.

REVISION - 31-Oct-2019 tn
RE: Change of Certified Professional to Barry Thorson P. Eng., CP, FEC 

The role of Certified Professional for this project will be transferred from Tavis McAuley, Architect AIBC, CP  to Barry Thorson, P. Eng., CP, FEC effective October 1, 2019."|BP-2018-03560
1705 E 18TH AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Spin off Permit for  BP-2017-05913.
To  relocate the existing 3-storey house at 3365 Commercial Drive (Building 1)  to the southwest side of the site to restore, designate as Heritage ""C"", and convert to 2 market dwelling units, all above one level of underground parking accessed from East 18th Avenue. 

25-May-2018 - Stage 1 (excavation and shoring) - issued. 
18-July-2018  -Stage 2 (foundation to grade)  - issued.
04 -Oct-2018 - Stage 3  ( full construction)   - issued.


REVISION - 31-Oct-2019 tn
RE: Change of Certified Professional to Barry Thorson P. Eng., CP, FEC 

The role of Certified Professional for this project will be transferred from Tavis McAuley, Architect AIBC, CP  to Barry Thorson, P. Eng., CP, FEC effective October 1, 2019.

Revision  -09-Apr-2020 tn
To delete the Ground Floor power rooms within 2 TH suites in the  Converted Heritage Home."|BP-2018-03559
75 SW MARINE DRIVE, Vancouver, BC V5X 2P9|"Certified Professional Program - New Building - To construct a 6 storey multiple dwelling building containing 54 social housing rental dwelling units above one level of underground parking.

SHORT PROGRAM - VBBL 2014.

“Reviewed during the 2020 pandemic crisis.”  

STAGE 1 - FULL CONSTRUCTION issued on August 12, 2020.
Revision 1  - Edited the Terms in the permit. - Aug. 12, 2020.
Revision 2 - To convert the Electrical Riser Enclosure into an Electrical 
 Room and to convert the adjacent Non-Combustible Void Space into a 
 Storage Room. - Feb. 3, 2022."|BP-2018-05548
4675 CAMBIE STREET, Vancouver, BC V5Z 2Z1|"Certified Professional Program - New Building - To construct one - 6 storey multiple dwelling buildings containing 34 dwelling units where five of the units are two level townhouses in the south tower.

Refer to BP-2018-04328 for site work, below grade facilities and common underground parking."|BP-2019-00506
4685 CAMBIE STREET, Vancouver, BC V5Z 2Z1|"Certified Professional Program - New Building - To construct one - 6 storey multiple dwelling buildings containing 45 dwelling units where two of the units are two level townhouse and three of the units are single storey in the north tower. 

Refer to BP-2018-04328 for site work, below grade facilities and common underground parking."|BP-2019-00507
7858 OAK STREET, Vancouver, BC V6P 4A5|"Certified Professional Program - New Building - To construct 3 new residential structures consisting of a total 16 dwelling units, all constructed above a common single level non-combustible storage garage as one building.  All 3 structures are of combustible construction in townhouse units, and there are no stacked unit conditions. The project will be sprinklered and equipped with a monitored fire alarm system. 

Note: VBBL 2014. - Reviewed during the 2020 pandemic crisis.

Townhouse 1 facing Oak St. have 6 units. is under BP-2019-03400.
Townhouse 2 facing Park St. have 5 unit is under BP-2019-03402.
Townhouse 3 facing Oak St. access through the court yard have 5 units is under BP-2019-03403.

STAGE 1 - Excavation and Shoring issued on April 9, 2020.
STAGE 2 - Full Construction issued on July 23, 2020.
Revision 1 - (Mar. 11, 2022) - Primary address change to the following two spinoff permits: BP-2019-03400 & BP-2019-03402."|BP-2019-00837
8888 OSLER STREET, Vancouver, BC|"Certified Professional Program - New Building - To construct a new 6 storey mixed use building with 76 residential units, 5 retail units on ground level and 2 levels of underground parking accessed from lane.

Related to AL-2019-00159 - Exposure to Exit Sprinkler Protection.

Environmental Protection has accepted the BP with conditions:
•\tMust comply with the Erosion and Sediment Control Monitoring criteria as outlined in Bulletin 2002-003-EV.
•\tSubmit plumbing plans for the retail units at grade if treatment systems are required prior to discharge to the sanitary sewer system.

STAGED CONSTRUCTION
Stage 1 - Excavation and Shoring (issued April 26, 2019)
Stage 2 - Full Construction (issued February 5, 2020)
Rev #1 - Minor relocation of wall between drive aisle and Level 1 and minor revisions to match DPMA-2021-00892. Change of Mech/Plumb RP from J.Tessier to O.K. Al Milli, effective Nov 26, 2021. (issued December 23, 2021)"|BP-2018-04304
